Date,User Type,Total
2020-12-02,AS_TEACHERS,6553
2020-10-04,AS_NON-EDITING-TEACHERS,235
2020-10-04,AS_STUDENT,9604
2020-10-04,AS_TEACHERS,1403
2020-10-28,AS_NON-EDITING-TEACHERS,1902
2020-10-28,AS_STUDENT,28192
2020-10-28,AS_TEACHERS,3413
2020-12-12,AS_NON-EDITING-TEACHERS,660
2020-12-12,AS_STUDENT,8538
2020-12-12,AS_TEACHERS,1466
2020-10-10,AS_NON-EDITING-TEACHERS,305
2020-10-10,AS_STUDENT,9886
2020-10-10,AS_TEACHERS,2193
2021-01-09,AS_NON-EDITING-TEACHERS,795
2021-01-09,AS_STUDENT,12786
2021-01-09,AS_TEACHERS,3240
2020-12-13,AS_NON-EDITING-TEACHERS,99
2020-12-13,AS_STUDENT,9995
2020-12-13,AS_TEACHERS,670
2020-09-29,AS_NON-EDITING-TEACHERS,1596
2020-09-29,AS_STUDENT,22246
2020-09-29,AS_TEACHERS,5388
2020-09-11,AS_NON-EDITING-TEACHERS,1152
2020-09-11,AS_STUDENT,16221
2020-09-11,AS_TEACHERS,8335
2020-12-06,AS_NON-EDITING-TEACHERS,2336
2020-12-06,AS_STUDENT,13103
2020-12-06,AS_TEACHERS,5102
2020-09-15,AS_NON-EDITING-TEACHERS,1967
2020-09-15,AS_STUDENT,26652
2020-09-15,AS_TEACHERS,4852
2020-10-11,AS_NON-EDITING-TEACHERS,1434
2020-10-11,AS_STUDENT,12528
2020-10-11,AS_TEACHERS,4185
2020-09-12,AS_NON-EDITING-TEACHERS,466
2020-09-12,AS_STUDENT,10812
2020-09-12,AS_TEACHERS,3958
2020-12-07,AS_NON-EDITING-TEACHERS,3940
2020-12-07,AS_STUDENT,24791
2020-12-07,AS_TEACHERS,7084
2020-12-05,AS_NON-EDITING-TEACHERS,491
2020-12-05,AS_STUDENT,9205
2020-12-05,AS_TEACHERS,4447
2020-10-07,AS_NON-EDITING-TEACHERS,1219
2020-10-07,AS_STUDENT,17319
2020-10-07,AS_TEACHERS,4167
2020-10-13,AS_NON-EDITING-TEACHERS,1886
2020-10-13,AS_STUDENT,18152
2020-10-13,AS_TEACHERS,4480
2020-12-10,AS_NON-EDITING-TEACHERS,663
2020-12-10,AS_STUDENT,18233
2020-12-10,AS_TEACHERS,3458
2020-12-04,AS_NON-EDITING-TEACHERS,836
2020-12-04,AS_STUDENT,17176
2020-12-04,AS_TEACHERS,5354
2020-09-10,AS_NON-EDITING-TEACHERS,1431
2020-09-10,AS_STUDENT,25652
2020-09-10,AS_TEACHERS,5652
2020-12-11,AS_NON-EDITING-TEACHERS,294
2020-12-11,AS_STUDENT,22815
2020-12-11,AS_TEACHERS,3071
2020-10-05,AS_NON-EDITING-TEACHERS,3810
2020-10-05,AS_STUDENT,22929
2020-10-05,AS_TEACHERS,8163
2020-11-29,AS_NON-EDITING-TEACHERS,5
2020-11-29,AS_STUDENT,4833
2020-11-29,AS_TEACHERS,1037
2021-01-08,AS_NON-EDITING-TEACHERS,3434
2021-01-08,AS_STUDENT,29143
2021-01-08,AS_TEACHERS,7368
2020-11-15,AS_NON-EDITING-TEACHERS,113
2020-11-15,AS_STUDENT,4953
2020-11-15,AS_TEACHERS,1760
2020-11-01,AS_NON-EDITING-TEACHERS,1093
2020-11-01,AS_STUDENT,5220
2020-11-01,AS_TEACHERS,2995
2020-10-06,AS_NON-EDITING-TEACHERS,1956
2020-10-06,AS_STUDENT,17853
2020-10-06,AS_TEACHERS,6444
2020-11-17,AS_NON-EDITING-TEACHERS,319
2020-11-17,AS_STUDENT,3195
