Date,User Type,Component,Total
2020-10-20,AS_NON-EDITING-TEACHERS,System,2309
2020-10-20,AS_NON-EDITING-TEACHERS,URL,9
2020-10-20,AS_NON-EDITING-TEACHERS,Workshop,3
2020-10-20,AS_STUDENT,Assignment,2650
2020-10-20,AS_STUDENT,Book,22
2020-10-20,AS_STUDENT,Book printing,1
2020-10-20,AS_STUDENT,Choice,72
2020-10-20,AS_STUDENT,External tool,24
2020-10-20,AS_STUDENT,Feedback,4
2020-10-20,AS_STUDENT,File,895
2020-10-20,AS_STUDENT,File submissions,254
2020-10-20,AS_STUDENT,Folder,3
2020-10-20,AS_STUDENT,Forum,38
2020-10-20,AS_STUDENT,Grader report,3
2020-10-20,AS_STUDENT,Group choice,17
2020-10-20,AS_STUDENT,Online text submissions,58
2020-10-20,AS_STUDENT,Open Forum,639
2020-10-20,AS_STUDENT,Open Grader,1
2020-10-20,AS_STUDENT,Overview report,15
2020-10-20,AS_STUDENT,Page,266
2020-10-20,AS_STUDENT,Quiz,3601
2020-10-20,AS_STUDENT,Scheduler,22
2020-10-20,AS_STUDENT,Single view,14
2020-10-20,AS_STUDENT,Submission comments,3
2020-10-20,AS_STUDENT,System,12342
2020-10-20,AS_STUDENT,URL,706
2020-10-20,AS_STUDENT,User report,95
2020-10-20,AS_STUDENT,User tours,21
2020-10-20,AS_STUDENT,Workshop,50
2020-10-20,AS_TEACHERS,Activity report,2
2020-10-20,AS_TEACHERS,Assignment,368
2020-10-20,AS_TEACHERS,External tool,6
2020-10-20,AS_TEACHERS,File,14
2020-10-20,AS_TEACHERS,Folder,1
2020-10-20,AS_TEACHERS,Forum,3
2020-10-20,AS_TEACHERS,Grader report,6
2020-10-20,AS_TEACHERS,Logs,6
2020-10-20,AS_TEACHERS,Open Forum,63
2020-10-20,AS_TEACHERS,Page,13
2020-10-20,AS_TEACHERS,Quiz,134
2020-10-20,AS_TEACHERS,Scheduler,1
2020-10-20,AS_TEACHERS,Single view,14
2020-10-20,AS_TEACHERS,Submission comments,10
2020-10-20,AS_TEACHERS,System,4593
2020-10-20,AS_TEACHERS,URL,26
2020-10-20,AS_TEACHERS,Workshop,3
2020-09-21,AS_NON-EDITING-TEACHERS,Assignment,115
2020-09-21,AS_NON-EDITING-TEACHERS,Choice,1
2020-09-21,AS_NON-EDITING-TEACHERS,File,17
2020-09-21,AS_NON-EDITING-TEACHERS,Forum,41
2020-09-21,AS_NON-EDITING-TEACHERS,Open Forum,90
2020-09-21,AS_NON-EDITING-TEACHERS,Page,15
2020-09-21,AS_NON-EDITING-TEACHERS,Quiz,94
2020-09-21,AS_NON-EDITING-TEACHERS,Submission comments,1
2020-09-21,AS_NON-EDITING-TEACHERS,System,4163
2020-09-21,AS_NON-EDITING-TEACHERS,URL,43
2020-09-21,AS_NON-EDITING-TEACHERS,User tours,7
2020-09-21,AS_NON-EDITING-TEACHERS,Workshop,4
2020-09-21,AS_STUDENT,Assignment,2680
2020-09-21,AS_STUDENT,Book,38
2020-09-21,AS_STUDENT,Book printing,2
2020-09-21,AS_STUDENT,Chat,1
2020-09-21,AS_STUDENT,Choice,4
2020-09-21,AS_STUDENT,External tool,5
2020-09-21,AS_STUDENT,File,788
2020-09-21,AS_STUDENT,File submissions,300
2020-09-21,AS_STUDENT,Folder,12
2020-09-21,AS_STUDENT,Forum,332
2020-09-21,AS_STUDENT,Group choice,14
2020-09-21,AS_STUDENT,Online text submissions,24
2020-09-21,AS_STUDENT,Open Forum,1565
2020-09-21,AS_STUDENT,Open Grader,3
2020-09-21,AS_STUDENT,Overview report,10
2020-09-21,AS_STUDENT,Page,174
2020-09-21,AS_STUDENT,Questionnaire,11
2020-09-21,AS_STUDENT,Quiz,2869
2020-09-21,AS_STUDENT,Scheduler,31
2020-09-21,AS_STUDENT,Submission comments,5
2020-09-21,AS_STUDENT,System,17853
2020-09-21,AS_STUDENT,URL,1171
2020-09-21,AS_STUDENT,User report,54
2020-09-21,AS_STUDENT,User tours,32
2020-09-21,AS_STUDENT,Wiki,3
2020-09-21,AS_STUDENT,Workshop,37
2020-09-21,AS_TEACHERS,Assignment,277
2020-09-21,AS_TEACHERS,Choice,1
2020-09-21,AS_TEACHERS,File,16
2020-09-21,AS_TEACHERS,Forum,42
2020-09-21,AS_TEACHERS,Grader report,9
2020-09-21,AS_TEACHERS,Open Forum,183
2020-09-21,AS_TEACHERS,Overview report,3
2020-09-21,AS_TEACHERS,Page,44
2020-09-21,AS_TEACHERS,Quiz,172
2020-09-21,AS_TEACHERS,Submission comments,3
2020-09-21,AS_TEACHERS,System,7544
2020-09-21,AS_TEACHERS,URL,52
2020-09-30,AS_NON-EDITING-TEACHERS,Activity report,1
2020-09-30,AS_NON-EDITING-TEACHERS,Assignment,107
2020-09-30,AS_NON-EDITING-TEACHERS,Choice,7
2020-09-30,AS_NON-EDITING-TEACHERS,File,5
2020-09-30,AS_NON-EDITING-TEACHERS,Forum,22
2020-09-30,AS_NON-EDITING-TEACHERS,Grader report,13
2020-09-30,AS_NON-EDITING-TEACHERS,Open Forum,23
2020-09-30,AS_NON-EDITING-TEACHERS,Page,14
2020-09-30,AS_NON-EDITING-TEACHERS,Questionnaire,2
2020-09-30,AS_NON-EDITING-TEACHERS,Quiz,115
2020-09-30,AS_NON-EDITING-TEACHERS,Single view,8
2020-09-30,AS_NON-EDITING-TEACHERS,System,748
2020-09-30,AS_NON-EDITING-TEACHERS,URL,14
2020-09-30,AS_NON-EDITING-TEACHERS,User report,2
2020-09-30,AS_STUDENT,Activity report,1
2020-09-30,AS_STUDENT,Assignment,1144
2020-09-30,AS_STUDENT,Book,12
2020-09-30,AS_STUDENT,Choice,14
2020-09-30,AS_STUDENT,External tool,29
2020-09-30,AS_STUDENT,File,589
2020-09-30,AS_STUDENT,File submissions,76
2020-09-30,AS_STUDENT,Folder,20
2020-09-30,AS_STUDENT,Forum,70
2020-09-30,AS_STUDENT,Grader report,12
2020-09-30,AS_STUDENT,Group choice,10
2020-09-30,AS_STUDENT,Online text submissions,2
2020-09-30,AS_STUDENT,Open Forum,837
2020-09-30,AS_STUDENT,Overview report,9
2020-09-30,AS_STUDENT,Page,271
2020-09-30,AS_STUDENT,Questionnaire,4
2020-09-30,AS_STUDENT,Quiz,2770
2020-09-30,AS_STUDENT,Scheduler,104
2020-09-30,AS_STUDENT,Single view,8
2020-09-30,AS_STUDENT,Submission comments,4
2020-09-30,AS_STUDENT,System,10255
2020-09-30,AS_STUDENT,URL,787
2020-09-30,AS_STUDENT,User report,100
2020-09-30,AS_STUDENT,User tours,9
2020-09-30,AS_STUDENT,Workshop,39
2020-09-30,AS_TEACHERS,Activity report,1
2020-09-30,AS_TEACHERS,Assignment,156
2020-09-30,AS_TEACHERS,Choice,7
2020-09-30,AS_TEACHERS,External tool,6
2020-09-30,AS_TEACHERS,Feedback,2
2020-09-30,AS_TEACHERS,File,16
2020-09-30,AS_TEACHERS,Folder,1
2020-09-30,AS_TEACHERS,Forum,22
2020-09-30,AS_TEACHERS,Grader report,25
2020-09-30,AS_TEACHERS,Logs,2
2020-09-30,AS_TEACHERS,Open Forum,48
2020-09-30,AS_TEACHERS,Overview report,2
2020-09-30,AS_TEACHERS,Questionnaire,7
2020-09-30,AS_TEACHERS,Quiz,215
2020-09-30,AS_TEACHERS,Scheduler,30
2020-09-30,AS_TEACHERS,Single view,8
2020-09-30,AS_TEACHERS,System,2461
2020-09-30,AS_TEACHERS,URL,25
2020-09-30,AS_TEACHERS,User report,1
2020-09-30,AS_TEACHERS,Workshop,3
2021-01-01,AS_NON-EDITING-TEACHERS,Assignment,4
2021-01-01,AS_NON-EDITING-TEACHERS,Quiz,38
2021-01-01,AS_NON-EDITING-TEACHERS,System,17
2021-01-01,AS_NON-EDITING-TEACHERS,URL,2
2021-01-01,AS_STUDENT,Assignment,722
2021-01-01,AS_STUDENT,Book,54
2021-01-01,AS_STUDENT,External tool,1
2021-01-01,AS_STUDENT,File,130
2021-01-01,AS_STUDENT,File submissions,44
2021-01-01,AS_STUDENT,Folder,10
2021-01-01,AS_STUDENT,Forum,52
2021-01-01,AS_STUDENT,Group choice,2
2021-01-01,AS_STUDENT,Lesson,75
2021-01-01,AS_STUDENT,Online text submissions,2
2021-01-01,AS_STUDENT,Open Forum,20
2021-01-01,AS_STUDENT,Overview report,4
2021-01-01,AS_STUDENT,Page,53
2021-01-01,AS_STUDENT,Quiz,488
2021-01-01,AS_STUDENT,Safe Exam Browser access rules,3
2021-01-01,AS_STUDENT,Scheduler,2
2021-01-01,AS_STUDENT,System,1796
2021-01-01,AS_STUDENT,URL,159
2021-01-01,AS_STUDENT,User report,49
2021-01-01,AS_STUDENT,Workshop,2
2021-01-01,AS_TEACHERS,Assignment,114
2021-01-01,AS_TEACHERS,Excel spreadsheet,1
2021-01-01,AS_TEACHERS,Grader report,15
2021-01-01,AS_TEACHERS,Overview report,1
2021-01-01,AS_TEACHERS,Quiz,20
2021-01-01,AS_TEACHERS,Single view,12
2021-01-01,AS_TEACHERS,Submission comments,1
2021-01-01,AS_TEACHERS,System,238
2020-12-27,AS_NON-EDITING-TEACHERS,Assignment,2
2020-12-27,AS_NON-EDITING-TEACHERS,File,1
2020-12-27,AS_NON-EDITING-TEACHERS,System,6
2020-12-27,AS_STUDENT,Assignment,644
2020-12-27,AS_STUDENT,Book,27
2020-12-27,AS_STUDENT,File,87
2020-12-27,AS_STUDENT,File submissions,42
2020-12-27,AS_STUDENT,Folder,6
2020-12-27,AS_STUDENT,Forum,88
2020-12-27,AS_STUDENT,Group choice,2
2020-12-27,AS_STUDENT,Lesson,8
2020-12-27,AS_STUDENT,Online text submissions,8
2020-12-27,AS_STUDENT,Open Forum,52
2020-12-27,AS_STUDENT,Overview report,4
2020-12-27,AS_STUDENT,Page,14
2020-12-27,AS_STUDENT,Quiz,255
2020-12-27,AS_STUDENT,Scheduler,7
2020-12-27,AS_STUDENT,System,1554
2020-12-27,AS_STUDENT,URL,110
2020-12-27,AS_STUDENT,User report,48
2020-12-27,AS_STUDENT,User tours,3
2020-12-27,AS_TEACHERS,Assignment,288
2020-12-27,AS_TEACHERS,Forum,20
2020-12-27,AS_TEACHERS,Logs,1
2020-12-27,AS_TEACHERS,Quiz,49
2020-12-27,AS_TEACHERS,System,431
2020-12-26,AS_NON-EDITING-TEACHERS,Assignment,53
2020-12-26,AS_NON-EDITING-TEACHERS,System,75
2020-12-26,AS_STUDENT,Assignment,778
2020-12-26,AS_STUDENT,Book,89
2020-12-26,AS_STUDENT,External tool,2
2020-12-26,AS_STUDENT,File,81
2020-12-26,AS_STUDENT,File submissions,28
2020-12-26,AS_STUDENT,Folder,2
2020-12-26,AS_STUDENT,Forum,23
2020-12-26,AS_STUDENT,Group choice,2
2020-12-26,AS_STUDENT,Lesson,50
2020-12-26,AS_STUDENT,Online text submissions,6
2020-12-26,AS_STUDENT,Open Forum,55
2020-12-26,AS_STUDENT,Overview report,5
2020-12-26,AS_STUDENT,Page,13
2020-12-26,AS_STUDENT,Quiz,192
2020-12-26,AS_STUDENT,Scheduler,2
2020-12-26,AS_STUDENT,Submission comments,3
2020-12-26,AS_STUDENT,System,1669
2020-12-26,AS_STUDENT,URL,178
2020-12-26,AS_STUDENT,User report,63
2020-12-26,AS_TEACHERS,Assignment,360
2020-12-26,AS_TEACHERS,Forum,1
2020-12-26,AS_TEACHERS,Grader report,2
2020-12-26,AS_TEACHERS,Open Forum,2
2020-12-26,AS_TEACHERS,Quiz,59
2020-12-26,AS_TEACHERS,System,820
2020-10-31,AS_NON-EDITING-TEACHERS,Assignment,21
2020-10-31,AS_NON-EDITING-TEACHERS,Folder,1
2020-10-31,AS_NON-EDITING-TEACHERS,Group choice,6
2020-10-31,AS_NON-EDITING-TEACHERS,Quiz,1
2020-10-31,AS_NON-EDITING-TEACHERS,System,104
2020-10-31,AS_NON-EDITING-TEACHERS,URL,2
2020-10-31,AS_STUDENT,Assignment,1080
2020-10-31,AS_STUDENT,Chat,2
2020-10-31,AS_STUDENT,External tool,8
2020-10-31,AS_STUDENT,Feedback,1
2020-10-31,AS_STUDENT,File,241
2020-10-31,AS_STUDENT,File submissions,108
2020-10-31,AS_STUDENT,Folder,3
2020-10-31,AS_STUDENT,Forum,216
2020-10-31,AS_STUDENT,Glossary,2
2020-10-31,AS_STUDENT,Group choice,16
2020-10-31,AS_STUDENT,Online text submissions,54
2020-10-31,AS_STUDENT,Open Forum,66
2020-10-31,AS_STUDENT,Overview report,17
2020-10-31,AS_STUDENT,Page,179
2020-10-31,AS_STUDENT,Questionnaire,29
2020-10-31,AS_STUDENT,Quiz,3787
2020-10-31,AS_STUDENT,Scheduler,2
2020-10-31,AS_STUDENT,Submission comments,5
2020-10-31,AS_STUDENT,System,5399
2020-10-31,AS_STUDENT,URL,217
2020-10-31,AS_STUDENT,User report,179
2020-10-31,AS_STUDENT,User tours,15
2020-10-31,AS_STUDENT,Workshop,20
2020-10-31,AS_TEACHERS,Assignment,139
2020-10-31,AS_TEACHERS,File,5
2020-10-31,AS_TEACHERS,Folder,1
2020-10-31,AS_TEACHERS,Forum,2
2020-10-31,AS_TEACHERS,Grader report,2
2020-10-31,AS_TEACHERS,Group choice,6
2020-10-31,AS_TEACHERS,Logs,1
2020-10-31,AS_TEACHERS,Open Forum,20
2020-10-31,AS_TEACHERS,Open Grader,1
2020-10-31,AS_TEACHERS,OpenDocument spreadsheet,2
2020-10-31,AS_TEACHERS,Page,8
2020-10-31,AS_TEACHERS,Quiz,147
2020-10-31,AS_TEACHERS,System,1458
2020-10-31,AS_TEACHERS,URL,2
2020-10-21,AS_NON-EDITING-TEACHERS,Assignment,226
2020-10-21,AS_NON-EDITING-TEACHERS,File,8
2020-10-21,AS_NON-EDITING-TEACHERS,File submissions,4
2020-10-21,AS_NON-EDITING-TEACHERS,Open Forum,46
2020-10-21,AS_NON-EDITING-TEACHERS,Page,1
2020-10-21,AS_NON-EDITING-TEACHERS,Quiz,97
2020-10-21,AS_NON-EDITING-TEACHERS,Scheduler,9
2020-10-21,AS_NON-EDITING-TEACHERS,Submission comments,1
2020-10-21,AS_NON-EDITING-TEACHERS,System,2226
2020-10-21,AS_NON-EDITING-TEACHERS,URL,16
2020-10-21,AS_NON-EDITING-TEACHERS,User report,1
2020-10-21,AS_NON-EDITING-TEACHERS,Workshop,2
2020-10-21,AS_STUDENT,Assignment,2213
2020-10-21,AS_STUDENT,Book,8
2020-10-21,AS_STUDENT,Choice,25
2020-10-21,AS_STUDENT,External tool,25
2020-10-21,AS_STUDENT,Feedback,2
2020-10-21,AS_STUDENT,File,939
2020-10-21,AS_STUDENT,File submissions,212
2020-10-21,AS_STUDENT,Forum,8
2020-10-21,AS_STUDENT,Group choice,20
2020-10-21,AS_STUDENT,Online text submissions,12
2020-10-21,AS_STUDENT,Open Forum,597
2020-10-21,AS_STUDENT,Overview report,10
2020-10-21,AS_STUDENT,Page,267
2020-10-21,AS_STUDENT,Questionnaire,1
2020-10-21,AS_STUDENT,Quiz,11878
2020-10-21,AS_STUDENT,Scheduler,153
2020-10-21,AS_STUDENT,Submission comments,7
2020-10-21,AS_STUDENT,System,12848
2020-10-21,AS_STUDENT,URL,916
2020-10-21,AS_STUDENT,User report,115
2020-10-21,AS_STUDENT,User tours,31
2020-10-21,AS_STUDENT,Workshop,29
2020-10-21,AS_TEACHERS,Assignment,208
2020-10-21,AS_TEACHERS,Course participation,2
2020-10-21,AS_TEACHERS,External tool,1
2020-10-21,AS_TEACHERS,File,8
2020-10-21,AS_TEACHERS,Folder,1
2020-10-21,AS_TEACHERS,Forum,6
2020-10-21,AS_TEACHERS,Grader report,4
2020-10-21,AS_TEACHERS,Lesson,18
2020-10-21,AS_TEACHERS,Open Forum,106
2020-10-21,AS_TEACHERS,Overview report,2
2020-10-21,AS_TEACHERS,Page,1
2020-10-21,AS_TEACHERS,Quiz,309
2020-10-21,AS_TEACHERS,Scheduler,4
2020-10-21,AS_TEACHERS,Single view,1
2020-10-21,AS_TEACHERS,Submission comments,1
2020-10-21,AS_TEACHERS,System,4401
2020-10-21,AS_TEACHERS,URL,26
2020-10-21,AS_TEACHERS,User report,1
2020-10-21,AS_TEACHERS,Workshop,1
2020-10-25,AS_NON-EDITING-TEACHERS,Assignment,349
2020-10-25,AS_NON-EDITING-TEACHERS,File,10
2020-10-25,AS_NON-EDITING-TEACHERS,Grader report,2
2020-10-25,AS_NON-EDITING-TEACHERS,Open Forum,4
2020-10-25,AS_NON-EDITING-TEACHERS,Quiz,59
2020-10-25,AS_NON-EDITING-TEACHERS,Scheduler,2
2020-10-25,AS_NON-EDITING-TEACHERS,Submission comments,17
2020-10-25,AS_NON-EDITING-TEACHERS,System,402
2020-10-25,AS_NON-EDITING-TEACHERS,URL,1
2020-10-25,AS_NON-EDITING-TEACHERS,Workshop,3
2020-10-25,AS_STUDENT,Assignment,1609
2020-10-25,AS_STUDENT,Book,8
2020-10-25,AS_STUDENT,Choice,5
2020-10-25,AS_STUDENT,External tool,1
2020-10-25,AS_STUDENT,Feedback,2
2020-10-25,AS_STUDENT,File,538
2020-10-25,AS_STUDENT,File submissions,112
2020-10-25,AS_STUDENT,Forum,36
2020-10-25,AS_STUDENT,Grader report,2
2020-10-25,AS_STUDENT,Group choice,3
2020-10-25,AS_STUDENT,Online text submissions,24
2020-10-25,AS_STUDENT,Open Forum,313
2020-10-25,AS_STUDENT,Overview report,5
2020-10-25,AS_STUDENT,Page,126
2020-10-25,AS_STUDENT,Questionnaire,2
2020-10-25,AS_STUDENT,Quiz,2389
2020-10-25,AS_STUDENT,Scheduler,40
2020-10-25,AS_STUDENT,Submission comments,17
2020-10-25,AS_STUDENT,System,6175
2020-10-25,AS_STUDENT,URL,726
2020-10-25,AS_STUDENT,User report,78
2020-10-25,AS_STUDENT,User tours,15
2020-10-25,AS_STUDENT,Workshop,10
2020-10-25,AS_TEACHERS,Assignment,133
2020-10-25,AS_TEACHERS,Course participation,5
2020-10-25,AS_TEACHERS,Grader report,2
2020-10-25,AS_TEACHERS,Open Forum,13
2020-10-25,AS_TEACHERS,Quiz,251
2020-10-25,AS_TEACHERS,Scheduler,3
2020-10-25,AS_TEACHERS,Submission comments,1
2020-10-25,AS_TEACHERS,System,1551
2020-10-25,AS_TEACHERS,URL,5
2020-09-24,AS_NON-EDITING-TEACHERS,Assignment,315
2020-09-24,AS_NON-EDITING-TEACHERS,Book,22
2020-09-24,AS_NON-EDITING-TEACHERS,Choice,15
2020-09-24,AS_NON-EDITING-TEACHERS,File,24
2020-09-24,AS_NON-EDITING-TEACHERS,Forum,17
2020-09-24,AS_NON-EDITING-TEACHERS,Grader report,1
2020-09-24,AS_NON-EDITING-TEACHERS,Group choice,1
2020-09-24,AS_NON-EDITING-TEACHERS,Lesson,8
2020-09-24,AS_NON-EDITING-TEACHERS,Open Forum,29
2020-09-24,AS_NON-EDITING-TEACHERS,Questionnaire,2
2020-09-24,AS_NON-EDITING-TEACHERS,Quiz,30
2020-09-24,AS_NON-EDITING-TEACHERS,Submission comments,9
2020-09-24,AS_NON-EDITING-TEACHERS,System,1630
2020-09-24,AS_NON-EDITING-TEACHERS,URL,19
2020-09-24,AS_NON-EDITING-TEACHERS,User tours,5
2020-09-24,AS_STUDENT,Assignment,2996
2020-09-24,AS_STUDENT,Book,14
2020-09-24,AS_STUDENT,Choice,6
2020-09-24,AS_STUDENT,External tool,12
2020-09-24,AS_STUDENT,File,432
2020-09-24,AS_STUDENT,File submissions,234
2020-09-24,AS_STUDENT,Folder,10
2020-09-24,AS_STUDENT,Forum,439
2020-09-24,AS_STUDENT,Grader report,1
2020-09-24,AS_STUDENT,Group choice,34
2020-09-24,AS_STUDENT,Online text submissions,10
2020-09-24,AS_STUDENT,Open Forum,1225
2020-09-24,AS_STUDENT,Overview report,6
2020-09-24,AS_STUDENT,Page,153
2020-09-24,AS_STUDENT,Questionnaire,4
2020-09-24,AS_STUDENT,Quiz,2517
2020-09-24,AS_STUDENT,Scheduler,20
2020-09-24,AS_STUDENT,Submission comments,7
2020-09-24,AS_STUDENT,System,12949
2020-09-24,AS_STUDENT,URL,851
2020-09-24,AS_STUDENT,User report,58
2020-09-24,AS_STUDENT,User tours,32
2020-09-24,AS_STUDENT,Workshop,53
2020-09-24,AS_TEACHERS,Assignment,325
2020-09-24,AS_TEACHERS,Book,22
2020-09-24,AS_TEACHERS,Choice,15
2020-09-24,AS_TEACHERS,File,30
2020-09-24,AS_TEACHERS,Folder,2
2020-09-24,AS_TEACHERS,Forum,17
2020-09-24,AS_TEACHERS,Group choice,1
2020-09-24,AS_TEACHERS,Lesson,8
2020-09-24,AS_TEACHERS,Logs,5
2020-09-24,AS_TEACHERS,Open Forum,59
2020-09-24,AS_TEACHERS,Page,3
2020-09-24,AS_TEACHERS,Questionnaire,4
2020-09-24,AS_TEACHERS,Quiz,58
2020-09-24,AS_TEACHERS,Scheduler,146
2020-09-24,AS_TEACHERS,Submission comments,9
2020-09-24,AS_TEACHERS,System,4470
2020-09-24,AS_TEACHERS,URL,58
2020-09-24,AS_TEACHERS,User tours,5
2020-09-24,AS_TEACHERS,Workshop,1
2020-09-18,AS_NON-EDITING-TEACHERS,Assignment,76
2020-09-18,AS_NON-EDITING-TEACHERS,File,5
2020-09-18,AS_NON-EDITING-TEACHERS,File submissions,4
2020-09-18,AS_NON-EDITING-TEACHERS,Folder,8
2020-09-18,AS_NON-EDITING-TEACHERS,Open Forum,39
2020-09-18,AS_NON-EDITING-TEACHERS,Page,3
2020-09-18,AS_NON-EDITING-TEACHERS,Questionnaire,7
2020-09-18,AS_NON-EDITING-TEACHERS,Quiz,99
2020-09-18,AS_NON-EDITING-TEACHERS,System,837
2020-09-18,AS_NON-EDITING-TEACHERS,URL,9
2020-09-18,AS_STUDENT,Assignment,2517
2020-09-18,AS_STUDENT,Book,18
2020-09-18,AS_STUDENT,External tool,2
2020-09-18,AS_STUDENT,File,466
2020-09-18,AS_STUDENT,File submissions,264
2020-09-18,AS_STUDENT,Folder,15
2020-09-18,AS_STUDENT,Forum,55
2020-09-18,AS_STUDENT,Glossary,2
2020-09-18,AS_STUDENT,Group choice,78
2020-09-18,AS_STUDENT,Online text submissions,10
2020-09-18,AS_STUDENT,Open Forum,2034
2020-09-18,AS_STUDENT,Open Grader,4
2020-09-18,AS_STUDENT,Overview report,10
2020-09-18,AS_STUDENT,Page,217
2020-09-18,AS_STUDENT,Questionnaire,64
2020-09-18,AS_STUDENT,Quiz,1789
2020-09-18,AS_STUDENT,Scheduler,43
2020-09-18,AS_STUDENT,System,15558
2020-09-18,AS_STUDENT,URL,863
2020-09-18,AS_STUDENT,User report,64
2020-09-18,AS_STUDENT,User tours,142
2020-09-18,AS_STUDENT,Wiki,14
2020-09-18,AS_STUDENT,Workshop,72
2020-09-18,AS_TEACHERS,Assignment,150
2020-09-18,AS_TEACHERS,File,13
2020-09-18,AS_TEACHERS,File submissions,8
2020-09-18,AS_TEACHERS,Folder,8
2020-09-18,AS_TEACHERS,Grader report,5
2020-09-18,AS_TEACHERS,Group choice,12
2020-09-18,AS_TEACHERS,Open Forum,203
2020-09-18,AS_TEACHERS,Open Grader,3
2020-09-18,AS_TEACHERS,Page,9
2020-09-18,AS_TEACHERS,Questionnaire,11
2020-09-18,AS_TEACHERS,Quiz,344
2020-09-18,AS_TEACHERS,Scheduler,84
2020-09-18,AS_TEACHERS,System,4298
2020-09-18,AS_TEACHERS,URL,51
2020-09-18,AS_TEACHERS,User report,3
2020-09-18,AS_TEACHERS,Workshop,35
2020-10-18,AS_NON-EDITING-TEACHERS,Assignment,446
2020-10-18,AS_NON-EDITING-TEACHERS,Choice,6
2020-10-18,AS_NON-EDITING-TEACHERS,File,2
2020-10-18,AS_NON-EDITING-TEACHERS,Group choice,3
2020-10-18,AS_NON-EDITING-TEACHERS,Open Forum,8
2020-10-18,AS_NON-EDITING-TEACHERS,Questionnaire,5
2020-10-18,AS_NON-EDITING-TEACHERS,Quiz,52
2020-10-18,AS_NON-EDITING-TEACHERS,Submission comments,5
2020-10-18,AS_NON-EDITING-TEACHERS,System,1467
2020-10-18,AS_NON-EDITING-TEACHERS,URL,3
2020-10-18,AS_STUDENT,Assignment,1699
2020-10-18,AS_STUDENT,Book,8
2020-10-18,AS_STUDENT,Choice,4
2020-10-18,AS_STUDENT,External tool,23
2020-10-18,AS_STUDENT,Feedback,1
2020-10-18,AS_STUDENT,File,362
2020-10-18,AS_STUDENT,File submissions,158
2020-10-18,AS_STUDENT,Folder,5
2020-10-18,AS_STUDENT,Forum,34
2020-10-18,AS_STUDENT,Group choice,5
2020-10-18,AS_STUDENT,Online text submissions,2
2020-10-18,AS_STUDENT,Open Forum,283
2020-10-18,AS_STUDENT,Overview report,15
2020-10-18,AS_STUDENT,Page,125
2020-10-18,AS_STUDENT,Quiz,1276
2020-10-18,AS_STUDENT,Scheduler,15
2020-10-18,AS_STUDENT,Submission comments,2
2020-10-18,AS_STUDENT,System,6965
2020-10-18,AS_STUDENT,URL,346
2020-10-18,AS_STUDENT,User report,114
2020-10-18,AS_STUDENT,User tours,6
2020-10-18,AS_STUDENT,Workshop,82
2020-10-18,AS_TEACHERS,Assignment,476
2020-10-18,AS_TEACHERS,Choice,6
2020-10-18,AS_TEACHERS,File,3
2020-10-18,AS_TEACHERS,Grader report,4
2020-10-18,AS_TEACHERS,Group choice,3
2020-10-18,AS_TEACHERS,Lesson,10
2020-10-18,AS_TEACHERS,Open Forum,33
2020-10-18,AS_TEACHERS,Questionnaire,9
2020-10-18,AS_TEACHERS,Quiz,139
2020-10-18,AS_TEACHERS,Scheduler,28
2020-10-18,AS_TEACHERS,Submission comments,5
2020-10-18,AS_TEACHERS,System,3506
2020-10-18,AS_TEACHERS,URL,6
2020-12-24,AS_NON-EDITING-TEACHERS,Assignment,67
2020-12-24,AS_NON-EDITING-TEACHERS,Grader report,1
2020-12-24,AS_NON-EDITING-TEACHERS,Open Forum,2
2020-12-24,AS_NON-EDITING-TEACHERS,Submission comments,15
2020-12-24,AS_NON-EDITING-TEACHERS,System,123
2020-12-24,AS_NON-EDITING-TEACHERS,URL,1
2020-12-24,AS_STUDENT,Assignment,623
2020-12-24,AS_STUDENT,Book,10
2020-12-24,AS_STUDENT,File,63
2020-12-24,AS_STUDENT,File submissions,46
2020-12-24,AS_STUDENT,Folder,2
2020-12-24,AS_STUDENT,Forum,2
2020-12-24,AS_STUDENT,Grader report,1
2020-12-24,AS_STUDENT,Group choice,5
2020-12-24,AS_STUDENT,Lesson,27
2020-12-24,AS_STUDENT,Online text submissions,6
2020-12-24,AS_STUDENT,Open Forum,24
2020-12-24,AS_STUDENT,Overview report,2
2020-12-24,AS_STUDENT,Page,57
2020-12-24,AS_STUDENT,Quiz,283
2020-12-24,AS_STUDENT,Scheduler,6
2020-12-24,AS_STUDENT,Submission comments,18
2020-12-24,AS_STUDENT,System,1090
2020-12-24,AS_STUDENT,URL,58
2020-12-24,AS_STUDENT,User report,21
2020-12-24,AS_TEACHERS,Assignment,78
2020-12-24,AS_TEACHERS,Forum,1
2020-12-24,AS_TEACHERS,Open Forum,17
2020-12-24,AS_TEACHERS,Page,4
2020-12-24,AS_TEACHERS,Quiz,13
2020-12-24,AS_TEACHERS,System,722
2020-12-24,AS_TEACHERS,URL,1
2020-12-30,AS_NON-EDITING-TEACHERS,Assignment,2
2020-12-30,AS_NON-EDITING-TEACHERS,Forum,3
2020-12-30,AS_NON-EDITING-TEACHERS,Grader report,1
2020-12-30,AS_NON-EDITING-TEACHERS,Quiz,40
2020-12-30,AS_NON-EDITING-TEACHERS,System,43
2020-12-30,AS_STUDENT,Assignment,1035
2020-12-30,AS_STUDENT,Book,42
2020-12-30,AS_STUDENT,External tool,4
